"f","e","d","tau_q","tau_s","v_s","u0"
1.2326202,1.0051012,234.2883,6.517846,847.1484,0.923031,1.55497769535381
0.9757614,0.998342,429.2187,9.543608,448.908,0.8670842,1.51551366922487
1.0142159,1.0045201,541.4105,7.702908,215.1329,0.7236717,1.47915487240051
0.9984323,1.0054224,508.4458,4.00122,451.0236,0.9043024,1.55249444924501
1.2802845,1.0040813,444.8255,5.274628,417.2793,0.7994668,1.57222702156204
1.0042522,1.0086725,319.9148,3.143663,744.4321,0.8651351,1.46127804132994
1.3984003,1.0062707,490.8101,9.181261,262.0108,0.7382216,1.62015549730446
0.6278527,0.9971967,329.0187,6.975001,768.2288,0.7723315,1.21475993601485
1.1446721,0.9963006,520.3671,6.258308,385.2125,0.9490626,1.62424300418361
1.0695311,0.9933167,396.9397,8.398504,799.1778,0.7275486,1.47689819684883
0.9353166,1.0096463,278.5832,9.940288,389.6418,0.9240695,1.46910682472831
1.4523265,1.0078287,364.7155,9.762081,784.2553,0.7230141,1.58635710981794
1.1543575,0.995344,231.9454,4.926556,369.7639,0.8649504,1.43023862113779
0.5238357,0.9969617,444.5401,5.377789,597.08,0.809544,1.19462149700546
0.9681229,1.0035542,250.7615,4.161503,704.7677,0.7397347,1.28222380169097
1.3573432,1.0009312,409.3448,6.029765,916.5293,0.7774815,1.58519102181395
0.8650603,1.0042585,292.4418,7.472974,582.6196,0.810452,1.36356787425
0.865575,0.9935632,296.5703,6.072083,517.9416,0.9878765,1.51084553152271
1.2587076,1.0089118,351.2906,7.862095,522.6844,0.8111407,1.55135586817928
0.6075794,0.9923533,310.4134,9.745945,968.3903,0.9619223,1.44038713614416
0.8461645,0.9981607,358.5942,6.47399,409.0625,0.9349712,1.46024014040853
1.3146553,0.9917044,217.5765,3.26428,238.8042,0.8197498,1.38482594595656
0.539625,1.0011669,210.6385,6.520433,261.6568,0.7098601,1.01249510157961
1.2153169,1.0047452,346.5698,8.345037,968.0192,0.8320687,1.56672079598734
0.8368908,0.9959247,414.3366,3.94033,349.3558,0.874706,1.3928454833213
1.4184023,0.9940423,340.2865,3.120577,810.6623,0.8004428,1.54336424292851
1.2778373,0.9900869,528.8031,3.011454,601.5673,0.894144,1.62746836055579
0.699156,1.0072811,417.8071,8.385918,359.6472,0.9469528,1.40381549843212
1.3568248,0.9919557,300.122,6.331027,208.3029,0.7192502,1.4583671725881
0.759613,0.9932787,248.0203,7.949176,836.9042,0.9775479,1.48721401686249
0.9232068,1.0098721,273.5633,3.983587,551.841,0.868922,1.39872593636301
0.6435893,1.0090551,543.9941,3.698344,596.8336,0.8490484,1.29322400041967
0.9792058,1.0080182,371.1305,5.886868,853.5509,0.9417775,1.56701808758276
1.045585,0.9911234,529.7394,8.336416,734.2253,0.7212051,1.51389222670497
1.1619061,0.9991287,456.2913,9.827284,802.6135,0.7952129,1.57500385370118
0.6140414,0.9933891,535.2439,5.20612,568.9077,0.8759265,1.31621796627495
0.594643,1.0068917,257.6663,6.58222,562.4223,0.8549855,1.2535253394932
0.6767012,0.9960258,258.2533,6.956383,464.8038,0.8073907,1.22124735020806
1.4924301,1.0015105,455.8506,6.121386,227.1937,0.9220691,1.66228496512686
1.4053125,1.001758,242.092,4.793861,747.6516,0.8816106,1.54888207814283
0.9033944,0.9971101,283.987,7.440598,638.3053,0.7236678,1.30694951044029
1.4304666,1.0057372,458.4066,6.028102,468.5731,0.7855283,1.62044061053501
1.2684602,1.0009192,379.2425,5.000747,979.1964,0.8393154,1.57780541141139
1.3146845,1.000071,297.442,5.147731,740.0578,0.9525943,1.61438730034816
1.4978331,0.9957967,458.6586,5.316255,985.5592,0.7373555,1.6218690729585
1.3132457,1.0030097,309.5931,3.445893,716.2839,0.8473999,1.53731817336519
1.249057,1.005949,215.1094,9.806578,441.6687,0.7242447,1.39860274881239
0.6310752,1.0070557,380.878,3.018073,601.2954,0.8992735,1.31089377585144
0.953886,0.9916663,335.7048,4.351141,490.9274,0.9885586,1.54907719238718
1.0407913,1.0062658,394.6252,5.167712,793.3935,0.9429532,1.58739704902521
0.596569,0.9971742,210.9065,6.657097,272.2085,0.828439,1.15652030201006
1.2360025,1.003749,401.54,3.916344,228.8248,0.9874346,1.62004690929726
0.6793617,1.0024287,476.8488,6.43258,735.1431,0.8893485,1.38842234227117
0.631598,1.0059746,406.2113,5.103913,400.6942,0.8512735,1.25567297106163
1.0202241,1.0062754,399.5923,8.602311,277.1269,0.8083267,1.47389262064403
0.858449,0.9905542,536.8624,7.790348,353.1345,0.8017666,1.42491392116615
0.8519234,1.0072382,443.9971,9.896588,361.7488,0.984372,1.52549541626293
1.0901388,0.9981311,342.4043,9.599531,596.4925,0.8794411,1.53904960230316
1.2650449,0.9935766,203.7352,4.891877,897.3357,0.972344,1.58061092466394
1.1007783,0.9912496,206.0418,3.604218,300.1513,0.7119223,1.20494014995663
0.6525029,1.0001369,424.8511,5.522628,850.2376,0.7221071,1.18527278557864
1.2420402,0.992231,541.2613,4.525944,448.399,0.7578101,1.56978989979263
1.4656106,0.9953547,481.4032,3.409712,869.0797,0.795578,1.62749395379692
0.7174118,1.0032518,480.9462,3.848619,423.9204,0.7844824,1.24530308863633
0.601968,1.0066091,382.2283,6.323663,934.756,0.955562,1.42926328222275
1.2678079,1.0089617,406.3845,9.012601,524.2986,0.8532526,1.59995539161479
1.2220076,0.993067,536.1572,4.646512,503.5174,0.9710593,1.65645245442251
0.8327553,1.0004452,281.381,3.08449,791.4716,0.7495164,1.21971518936507
0.7629577,0.9957567,463.3736,4.872272,332.7876,0.7271868,1.22913324870466
0.6858026,0.9997804,214.1749,8.089067,310.4144,0.8922165,1.28061958618574
0.6027896,1.0083115,542.4403,4.864467,707.6075,0.957997,1.41879770195143
1.4957254,1.0075927,425.0671,8.911085,556.5652,0.7137099,1.617186830093
1.1116986,0.991273,462.3511,7.333038,648.4091,0.7068872,1.49948817504574
0.9302644,1.0009976,323.848,3.055054,968.4695,0.8093303,1.38309254807397
0.5692019,1.0025628,384.2477,5.210908,211.787,0.9437371,1.28168388315058
0.9958652,1.0053042,390.6954,4.258027,923.4597,0.9652182,1.59586499008827
1.319084,0.9994949,356.149,5.612829,627.5407,0.7342324,1.5159275861861
1.105527,1.0066784,230.6234,8.594621,330.9725,0.7373113,1.35250292283256
1.3343426,0.9921196,432.3208,3.509605,597.0936,0.7992744,1.56665238675024
1.0896094,1.0058718,506.3047,8.357679,605.1936,0.9144384,1.61051869253725
1.3985135,0.993125,421.9546,3.314657,997.8965,0.7574342,1.56721216723799
0.7182899,0.9973839,215.1863,8.734338,507.1348,0.7229445,1.16868684866405
1.4281662,0.9967564,399.5214,5.273429,674.148,0.7500262,1.5738514887842
0.5856777,0.9952255,465.6306,8.640649,393.8862,0.9611302,1.37665242578152
0.7705724,1.0076813,252.1863,4.370394,621.576,0.8027494,1.24670438664609
0.8488694,0.9988479,365.2569,7.281691,892.8545,0.8819556,1.46960367859
0.8592167,1.0017967,430.842,7.363242,602.5034,0.8729632,1.46760640875958
0.693024,0.9979669,392.4448,9.148711,904.6317,0.9826056,1.49635882009645
0.5631134,0.9925587,377.0837,4.540696,805.6061,0.9104587,1.33505247358901
1.0183903,0.9926416,255.0569,3.740289,421.2766,0.7489356,1.27845207098693
1.3714482,1.005355,329.9384,8.685015,204.0891,0.9571516,1.60782405955607
1.4466272,0.9948674,355.6848,6.707577,764.4373,0.8110239,1.59119052119733
0.8297009,1.0050939,340.2498,4.728947,604.7807,0.7256684,1.25580620106344
1.4064661,0.9929597,479.0658,8.51705,710.2816,0.897435,1.66132894307919
1.0515604,0.9988611,303.957,9.01594,934.6725,0.7705019,1.45550499964528
1.1642336,1.005129,298.6025,5.270739,860.2167,0.8268399,1.4986617093392
1.3081864,0.9969543,321.5784,3.609376,779.9611,0.9012064,1.5820493704867
1.2923084,0.9972529,506.6963,4.022769,577.1256,0.797511,1.59124558064798
1.1934013,1.0086261,464.4738,9.518762,506.4391,0.8298518,1.59263226552269
0.7701996,1.0071186,229.0775,3.83693,369.987,0.9731521,1.4085278766801
1.1446411,0.9937066,541.0442,6.121713,558.1931,0.7141284,1.53441958790932
1.4630044,1.006418,533.5964,7.459305,779.147,0.9009326,1.68638316903771
0.6097217,0.997355,415.4779,5.776229,932.2402,0.7430984,1.18700173074015
1.3087052,0.9974933,251.0675,8.5218,257.5124,0.9140538,1.52797984049869
0.9355751,1.0007581,439.9342,9.203165,635.4389,0.9199364,1.54732090440345
1.3042243,1.0007894,486.2302,7.388385,775.8974,0.748469,1.5958587382793
1.3617182,0.9930289,543.5637,6.691887,667.9289,0.8706276,1.65608400252272
