,f,e,d,tau_q,tau_s,v_s,y
877,0.551762673,1.00582133,323.8651924,3.630858285,163.225871,0.540965118,0.449624954
312,0.553202537,1.001626094,501.9172842,3.546974426,108.2452335,0.48698185,0.457245913
247,0.582358085,1.00994684,426.3360198,2.312552407,172.5777878,0.530694705,0.46410408
704,0.580208773,1.009228394,476.1062992,4.191594688,116.4126746,0.483114235,0.467887183
346,0.510305682,1.006047246,394.4293387,3.889233835,72.16382889,0.55556217,0.473499716
36,0.614041356,1.009156797,361.397132,2.751538577,182.3042969,0.485161424,0.475733364
549,0.583314187,0.993860404,536.6516791,3.332021421,161.8927816,0.508264892,0.476258953
943,0.504087574,0.993982459,549.9808595,3.782984935,87.9516234,0.469385617,0.478294439
992,0.540091551,0.991239368,545.4136258,5.189256351,130.4274324,0.388199814,0.483634881
213,0.603571992,1.00944139,451.7520216,4.255498493,154.3759367,0.424217093,0.486425328
230,0.521652237,1.00631575,327.6169308,5.663365714,158.3339518,0.481700336,0.486462239
473,0.596889783,1.002722133,390.1716381,4.844717564,87.88673077,0.439596725,0.488287934
629,0.567866868,1.00867359,515.0692548,5.956788518,185.6737142,0.434436773,0.491951204
413,0.534316323,0.994143634,412.5852348,7.451363346,131.0770453,0.527925919,0.493087336
191,0.646243575,1.007141197,404.3704298,3.227374479,125.1664476,0.473231766,0.493661421
314,0.555666282,0.991379523,407.1377921,7.286012851,162.6071093,0.542708016,0.496382366
832,0.501788888,1.000682568,473.6077293,7.003795892,102.8388799,0.478495497,0.49639105
775,0.533121199,0.993649542,539.0278879,7.986300277,94.48044433,0.421545849,0.49952862
711,0.614052791,0.994235614,375.6393541,2.342243502,68.54744836,0.483763474,0.500683033
594,0.647986998,1.005762999,430.3407844,2.678695492,162.6980865,0.514313005,0.501049891
412,0.643103903,1.003125539,353.206029,5.352169801,145.5484512,0.448568941,0.501480808
403,0.502191167,0.994208468,370.1911055,7.170108436,154.6485418,0.552889561,0.502293852
498,0.645723672,0.991597406,304.6520275,3.23594966,105.3811586,0.444987907,0.506104233
277,0.649344495,1.003914805,360.4920826,3.162397726,85.39640876,0.443640162,0.510077022
497,0.534773523,1.009430739,540.3825848,7.058231233,87.27182894,0.311747683,0.513131238
949,0.508366052,0.996599864,358.9279925,8.441104764,151.5456633,0.448555406,0.513717867
