"","f","e","d","tau_q","tau_s","v_s","y"
"1034",1.49846095746604,1.00272710547676,81.7978317435585,8.26942556601428,181.724372494908,0.663327815286716,0.668653212327038
"1084",1.49846124442332,1.0027274789117,81.7978332456911,8.26942342403598,777.466808788999,0.663327699290634,0.7691479203514
"1067",1.42997579419709,1.00941489608442,77.4818186041181,2.40144599105101,48.9990050230515,0.834855781553145,0.73922827111863
"1097",1.43532507513937,1.00777906156007,96.0612390487151,3.80444574054384,173.749311657755,0.934895197363422,0.793001861835028
"1066",1.32980473126931,0.998714704543592,75.5606023399686,7.4511899973446,917.226779534215,0.533506304119187,0.72935896450349
"1118",1.22138245382826,1.00468273840037,91.5158416033266,7.37405314213895,178.238753189689,0.823734926940428,0.670507341230437
"1126",1.29524782076324,1.00754926984227,77.2766160925116,7.01000060032663,773.305020961734,0.716606032495229,0.745097704631561
"1107",1.41605267176821,1.00785619151043,171.335193774253,1.4457532020537,109.565634283337,0.778381434713458,0.829903659980532
"1154",1.03388307979844,1.00732128590254,81.7978321315282,8.28465588634055,181.724373177369,0.6633299102927,0.586425115332976
"1007",1.02890642303973,1.00869944457524,77.4818170582876,1.42587330029346,109.565636463813,0.93613090319559,0.604467849610065
"1204",1.01802229074294,1.009562341757,81.797832397849,8.26942895710883,270.796595233549,0.66332610754137,0.600864055206867
"2326",0.767354341361383,0.996976474345167,117.611660415386,1.29098485036793,123.021653356453,0.770104693267578,0.442259646972464
"2161",0.796467601014674,0.992573731436828,131.315645865055,1.65326572622611,170.787818875738,0.746947093547988,0.465651588183368
"1297",0.824703773394313,0.991982787444124,124.491534944137,2.68632844762473,163.946816105308,0.643214009990224,0.484981753778989
"1417",0.852481864304198,1.00313107916927,143.170768931784,2.68632765516476,163.946813170552,0.666255980553582,0.503964246213793
"2297",0.743379917173179,0.991997566430254,60.3350271480872,1.25813479684357,146.822032455315,0.798504952677943,0.433336622836347
"2017",0.769315086827248,0.996358664477894,132.824604832073,1.93112589751449,163.946812420438,0.726641560807585,0.454542400435634
"2001",0.772597201973904,0.99257417493793,131.315644954732,2.16040210312581,139.807645500822,0.746945892759991,0.457268004374566
"2051",0.810568301364505,0.992573745900714,131.315644234167,1.65326615527224,200.018159722528,0.746945069500238,0.483181932734487
"2267",0.766326289022695,0.994359199857279,148.335379960356,1.51891566670984,146.822034462219,0.726640551662146,0.454235860114718
