"","f","e","d","tau_q","tau_s","v_s","y","fitted.value","residuals"
"1034",1.49846095746604,1.00272710547676,81.7978317435585,8.26942556601428,181.724372494908,0.663327815286716,0.668653212327038,1.07248996698419,-0.403836754657149
"1084",1.49846124442332,1.0027274789117,81.7978332456911,8.26942342403598,777.466808788999,0.663327699290634,0.7691479203514,1.07249016079429,-0.303342240442887
"1067",1.42997579419709,1.00941489608442,77.4818186041181,2.40144599105101,48.9990050230515,0.834855781553145,0.73922827111863,1.02623528972714,-0.287007018608509
"1097",1.43532507513937,1.00777906156007,96.0612390487151,3.80444574054384,173.749311657755,0.934895197363422,0.793001861835028,1.02984817829646,-0.236846316461431
"1066",1.32980473126931,0.998714704543592,75.5606023399686,7.4511899973446,917.226779534215,0.533506304119187,0.72935896450349,0.958580049306319,-0.229221084802828
"1118",1.22138245382826,1.00468273840037,91.5158416033266,7.37405314213895,178.238753189689,0.823734926940428,0.670507341230437,0.88535196294234,-0.214844621711903
"1126",1.29524782076324,1.00754926984227,77.2766160925116,7.01000060032663,773.305020961734,0.716606032495229,0.745097704631561,0.935240413885114,-0.190142709253553
"1107",1.41605267176821,1.00785619151043,171.335193774253,1.4457532020537,109.565634283337,0.778381434713458,0.829903659980532,1.01683165390854,-0.186927993928011
"1154",1.03388307979844,1.00732128590254,81.7978321315282,8.28465588634055,181.724373177369,0.6633299102927,0.586425115332976,0.758715438800768,-0.172290323467792
"1007",1.02890642303973,1.00869944457524,77.4818170582876,1.42587330029346,109.565636463813,0.93613090319559,0.604467849610065,0.755354219505879,-0.150886369895814
"1204",1.01802229074294,1.009562341757,81.797832397849,8.26942895710883,270.796595233549,0.66332610754137,0.600864055206867,0.748003108658206,-0.147139053451338
"2326",0.767354341361383,0.996976474345167,117.611660415386,1.29098485036793,123.021653356453,0.770104693267578,0.442259646972464,0.578702715056214,-0.13644306808375
"2161",0.796467601014674,0.992573731436828,131.315645865055,1.65326572622611,170.787818875738,0.746947093547988,0.465651588183368,0.598365724748915,-0.132714136565547
"1297",0.824703773394313,0.991982787444124,124.491534944137,2.68632844762473,163.946816105308,0.643214009990224,0.484981753778989,0.617436352284189,-0.1324545985052
"1417",0.852481864304198,1.00313107916927,143.170768931784,2.68632765516476,163.946813170552,0.666255980553582,0.503964246213793,0.636197592946022,-0.132233346732228
"2297",0.743379917173179,0.991997566430254,60.3350271480872,1.25813479684357,146.822032455315,0.798504952677943,0.433336622836347,0.5625104596783,-0.129173836841953
"2017",0.769315086827248,0.996358664477894,132.824604832073,1.93112589751449,163.946812420438,0.726641560807585,0.454542400435634,0.58002699676013,-0.125484596324496
"2001",0.772597201973904,0.99257417493793,131.315644954732,2.16040210312581,139.807645500822,0.746945892759991,0.457268004374566,0.582243727648729,-0.124975723274163
"2051",0.810568301364505,0.992573745900714,131.315644234167,1.65326615527224,200.018159722528,0.746945069500238,0.483181932734487,0.607889296171508,-0.124707363437021
"2267",0.766326289022695,0.994359199857279,148.335379960356,1.51891566670984,146.822034462219,0.726640551662146,0.454235860114718,0.578008371539171,-0.123772511424454
"1876",0.745966524804033,0.991013711968294,81.6908728083448,1.45621065662176,128.793865151083,0.824452612581633,0.444006122904632,0.564257446842307,-0.120251323937675
"2216",0.73806916005707,1.00090250417435,60.5754799370542,1.49696089698598,115.080776071262,0.776680370853926,0.441354330170222,0.558923589987539,-0.117569259817317
"1047",1.02890601732655,1.00870098002898,77.4818166459015,4.43584007442084,109.565636145382,0.936130850145295,0.637818162873556,0.755353945488394,-0.117535782614838
"1742",0.744071701574828,0.991542850062733,94.0979263382614,1.61964240042352,120.309792759738,0.713218519833182,0.446195033959356,0.562977688822576,-0.11678265486322
"1004",1.10276563200168,1.00272671375051,152.753999608103,7.73088175035082,120.66491928394,0.714690208574757,0.689079787538487,0.805238511371834,-0.116158723833347
"2376",0.728830145225473,1.00935654806744,119.445562271909,1.47219857882527,154.636722867527,0.756801459144466,0.437924050429211,0.552683586623156,-0.114759536193945
"2316",0.745676742933809,0.996978420827115,117.611658776401,0.865849862845734,123.02165361792,0.770103294289973,0.449604728614368,0.564061729021945,-0.114457000407577
"2097",0.723354236885633,0.99669559793789,113.666043477741,1.93112461516613,163.946812971112,0.72664043555527,0.435422731909256,0.548985174283044,-0.113562442373787
"1001",0.77382599971716,0.996344106638594,168.170815995529,1.32764883863443,132.413800842996,0.730276555166187,0.469577559760995,0.583073654019859,-0.113496094258864
"2175",0.746737801756468,0.993749783189537,60.2469779352171,1.9321615988108,119.490029819584,0.746371611673192,0.452086799302068,0.5647783650209,-0.112691565718831
"1891",0.715487441786128,0.996587571755988,77.9635408894457,1.50094236083089,139.807643559744,0.750859620184398,0.431551007535516,0.543671964077996,-0.11212095654248
"1104",0.909462456919953,1.00272699794567,81.7978322911148,8.26942603222691,181.724373245341,0.663328526706744,0.563042486916341,0.674682117119625,-0.111639630203284
"2446",0.731728772529064,0.995262514730371,159.479779634402,1.57339812552761,124.96520463387,0.738479088898826,0.444431666128467,0.554641310953746,-0.110209644825279
